,baseMean,log2FoldChange,lfcSE,pvalue,padj
EXOSC5,437.3167389,-0.127335939,0.094052407,0.145366904,0.338410577
ZNF818P,66.61919012,0.212976417,0.205596951,0.145402972,0.338410577
ZNF649,265.2037787,0.168375711,0.134622721,0.14540868,0.338410577
HGH1,907.6573601,-0.147359521,0.112658264,0.145411145,0.338410577
TRPC1,9.766694211,0.116084096,0.284198745,0.145454522,0.338414792
METTL2B,467.2550199,0.169848282,0.135175136,0.145457809,0.338414792
FIGN,15.43042587,0.149759961,0.293827443,0.145757032,0.339050408
ZNF805,188.5652294,0.17806353,0.146367246,0.145775947,0.339050408
ZNF212,432.8610241,0.151558217,0.116760617,0.145997944,0.339464728
ZNF423,11.58069072,0.121596391,0.286280487,0.145999078,0.339464728
MUS81,1129.503541,-0.141798432,0.107785268,0.146047709,0.339525485
TRAPPC2L,929.9231567,0.132755703,0.098939021,0.146219471,0.33987243
C19orf47,392.5710943,-0.146837596,0.112266017,0.146256373,0.339905849
PRICKLE4,11.47393262,-0.169116808,0.299955989,0.146324588,0.340012015
FOXK2,2603.008824,0.101810415,0.072983515,0.146365665,0.340055103
SEMA3B,12.49801379,-0.174876402,0.300146921,0.146424405,0.340101106
EPDR1,189.2244512,0.166675462,0.133081786,0.146430543,0.340101106
ZNF706,2052.106586,0.096138147,0.068716483,0.146544525,0.340313462
DNAJC13,3349.907973,-0.119999921,0.088242257,0.146892027,0.341067963
RTL8A,584.4119897,0.13110255,0.09761625,0.146985389,0.341202546
LRRC57,744.7186866,0.143798905,0.109328895,0.146995212,0.341202546
HEPH,9.822684188,0.164300963,0.299686705,0.147041321,0.34125708
DOCK3,927.9079367,0.114123151,0.083095806,0.147064403,0.341258163
CBX7,642.8987553,-0.162985744,0.129452166,0.14714378,0.341389858
NCOR2,13283.3193,-0.155989175,0.121720194,0.147170382,0.341399087
DHX30,2752.181143,-0.112457978,0.082228247,0.147338603,0.341736785
ALMS1,345.7865825,-0.202200309,0.1845117,0.147446753,0.34193507
ART4,9.88704494,-0.117459117,0.282783006,0.147513907,0.342038239
PROCA1,131.6092392,-0.185377681,0.157493473,0.147664306,0.342334366
RPL17-C18orf32,1044.709956,0.149675501,0.115418733,0.147818392,0.342611614
SLC25A25,530.2898085,0.13965342,0.105810792,0.147829305,0.342611614
PPP1R3C,18.0585098,0.201398638,0.294705072,0.147914896,0.342757338
RPL41,23090.10479,0.112110623,0.081461108,0.147942135,0.342767821
EIF3M,2433.041482,0.09189544,0.065567328,0.147991413,0.342798904
SF3B4,2024.551,-0.132243178,0.098949549,0.148000985,0.342798904
FKBP4,1524.201562,0.129336316,0.096506561,0.148055833,0.342873316
TCEANC2,493.309635,-0.129580716,0.096773798,0.148141517,0.343019103
MTG2,957.0357982,0.152253937,0.118413228,0.148169925,0.34302272
DMXL1,2354.396222,0.115798353,0.084799524,0.148188543,0.34302272
KCNN1,56.10820343,-0.213609135,0.278200689,0.148309997,0.343251205
CCDC30,193.7473684,0.184165964,0.155935312,0.148403952,0.343415984
CDON,37.80718085,-0.217945157,0.232829842,0.148450944,0.343472055
KCNH1,15.43280819,0.145903949,0.293405322,0.148657376,0.343896949
SGSM1,7.945397989,0.146224928,0.29456088,0.148774694,0.344115593
ARHGAP35,3740.536629,-0.121306301,0.089904513,0.148829385,0.344189337
UPP2,9.048679081,0.152939732,0.296728776,0.148870576,0.34423184
PHC1,479.4990396,0.176783794,0.146997497,0.148941621,0.344343353
ITFG1,1911.186575,0.120803676,0.08907716,0.148980407,0.344380261
SLC43A1,162.5385268,-0.179084968,0.149616611,0.149108573,0.344622323
KLF7,523.946384,0.163213351,0.130419751,0.1491308,0.344622323
CNP,3952.854391,-0.103702986,0.075139139,0.149215689,0.344762335
MFSD10,2189.215105,0.119383116,0.088074386,0.14925369,0.344762335
COPG1,4694.641695,-0.116661769,0.085917679,0.149259929,0.344762335
TBX1,14.49618527,-0.197032667,0.296080908,0.149523802,0.345318974
GNPTG,4845.868118,0.108804269,0.081457794,0.14963323,0.345503093
HERC4,1525.082632,0.115639106,0.085142338,0.149649318,0.345503093
ELOCP19,17.03391591,0.197862684,0.295148115,0.149810659,0.345822678
POU5F1P3,15.24116842,-0.176120082,0.299593853,0.149838147,0.345833227
ARFGAP1,3703.277596,-0.124355659,0.092599872,0.149993084,0.346069342
GCNA,44.93782623,-0.218129512,0.251083953,0.150016312,0.346069342
CTRB2,7.567366895,0.145085641,0.294180119,0.150024378,0.346069342
DSTN,1942.765207,0.132235534,0.099547431,0.150032183,0.346069342
CHD6,1359.646827,0.14125323,0.107717644,0.150272409,0.346519664
CNTROB,1346.160776,-0.123988846,0.092125179,0.150273339,0.346519664
ZSCAN26,234.8514785,0.154597277,0.121477991,0.150309908,0.346551034
CACNA2D4,515.2803497,-0.12792181,0.095919933,0.150393516,0.346690828
LPAR2,441.9071478,-0.1548199,0.122001096,0.150614702,0.347147678
PSMC1,2152.459375,-0.09808828,0.071188715,0.150655732,0.347189218
FBLN1,93.94022447,-0.199851415,0.183020096,0.150738822,0.347327657
MT-ATP8,25454.38885,-0.094165731,0.070759542,0.150799305,0.347413971
NRBF2,1378.249817,0.117928562,0.087307855,0.150873895,0.347532754
PLEKHM1P1,387.0526139,-0.16140049,0.128890075,0.150970852,0.347703016
CWC27,974.8446416,-0.112865008,0.083177949,0.15107779,0.347896209
PTPN2,1039.252857,-0.142040295,0.10968876,0.151230847,0.348195527
MLPH,317.5582797,0.157604755,0.125094821,0.151324027,0.348356914
DGKZ,5415.78857,-0.116164508,0.083266327,0.151350101,0.348363792
GLIS2,44.45341806,-0.215562447,0.229969269,0.151395061,0.348414134
FBXO34,791.3124121,-0.103433114,0.075462479,0.151505245,0.348581739
SLC34A3,34.89501494,0.217267161,0.259770763,0.151514091,0.348581739
DDX28,812.1467679,0.112955457,0.083215955,0.151630465,0.348796299
SFXN3,3267.869489,-0.096496382,0.069935192,0.151678011,0.348852489
H2BC12,790.5449251,0.117205114,0.08684304,0.15176525,0.348921415
SPRED2,1360.674802,-0.130014155,0.098220689,0.151770049,0.348921415
CEP15,146.6400086,0.182402049,0.155800035,0.151777347,0.348921415
CWC25,661.6080372,-0.113849143,0.084220039,0.151838973,0.349009916
