,baseMean,log2FoldChange,lfcSE,pvalue,padj
FABP4,11425.99272,7.991633331,0.170752365,0,0
PLIN2,35475.52883,2.9347349,0.067457716,0,0
CX3CR1,506.9121098,-5.517360705,0.171154128,3.08E-229,1.55E-225
AMIGO2,2169.733337,2.460822441,0.084882035,4.09E-186,1.54E-182
PDK4,4758.497944,3.355361424,0.126020607,2.49E-157,7.51E-154
FGR,8184.556299,1.791114549,0.069824388,4.52E-146,1.14E-142
ABCG1,5661.363631,1.806227487,0.07231644,6.13E-139,1.32E-135
SPOCD1,4048.949254,1.834510494,0.073860536,2.02E-137,3.81E-134
MEGF9,2997.386104,1.928186934,0.079197456,3.29E-132,5.52E-129
SCD,36638.24829,1.424201302,0.058661615,3.22E-131,4.86E-128
CPT1A,2980.624288,1.864578315,0.080407312,2.94E-120,4.03E-117
KRT79,1161.596935,2.056348033,0.089956321,6.08E-117,7.65E-114
ANGPTL4,602.5131105,5.44387146,0.241496858,1.14E-114,1.32E-111
PHACTR1,2185.598692,1.80617863,0.079892111,2.29E-114,2.47E-111
GPD1,9651.73906,1.52454341,0.06883728,7.75E-110,7.80E-107
NR1H3,16338.96489,1.685000808,0.078186814,3.78E-104,3.57E-101
PDE1B,4919.769454,1.393414884,0.066779692,5.95E-98,5.28E-95
IL7R,7522.815807,1.85285299,0.092787527,6.64E-90,5.57E-87
DTX4,2034.110647,2.227727459,0.112168241,4.13E-89,3.28E-86
ACADVL,23892.43714,1.469649317,0.075927167,2.56E-84,1.93E-81
CAMK1,4291.702022,-1.172826496,0.061007002,2.90E-83,2.08E-80
SOWAHC,1999.810523,1.244346649,0.065669882,3.38E-81,2.32E-78
GLDN,1923.943076,-1.706034332,0.090644264,3.49E-80,2.29E-77
ADAMTS15,1220.339697,1.828656006,0.099878532,3.67E-76,2.31E-73
FABP5,23081.09769,1.652408269,0.090852502,3.53E-75,2.13E-72
FAM89A,1849.09941,1.511770448,0.085266286,1.45E-71,8.40E-69
CD101,1114.633999,-1.932092454,0.109375476,5.18E-71,2.90E-68
CD36,24880.42544,2.384117331,0.135365131,8.95E-71,4.82E-68
ANKH,3247.787157,-1.098563631,0.062642203,5.16E-70,2.69E-67
WIPF3,360.0891138,-1.932997668,0.111177034,7.29E-69,3.67E-66
ST6GAL1,9366.319924,-0.987112243,0.057225973,1.09E-67,5.32E-65
AKR1B1,15482.71402,1.419069087,0.083411904,4.23E-66,1.99E-63
LPCAT3,2813.71084,1.30207661,0.076644756,6.73E-66,3.08E-63
S100B,928.690733,-1.654516418,0.097467071,8.44E-66,3.75E-63
LAT2,3411.128551,-1.090290718,0.064290884,1.39E-65,5.99E-63
GIMAP6,1284.252634,-1.159851361,0.068946751,1.27E-64,5.32E-62
ENPP2,335.0736496,-1.980663538,0.118093246,2.74E-64,1.12E-61
IMPA2,488.2155085,1.819102965,0.108767013,5.10E-64,2.03E-61
CYB5A,1632.264073,1.313865231,0.079392654,1.11E-62,4.28E-60
C3AR1,5512.289985,-1.645988074,0.099853022,3.18E-62,1.20E-59
LILRB2,629.9814619,-1.560813759,0.095650857,4.87E-61,1.79E-58
PLPP3,1530.780004,1.43373992,0.088238347,1.37E-60,4.93E-58
ST14,13663.41108,1.188182435,0.073507835,2.96E-59,1.04E-56
DKK2,488.0914379,-1.889873032,0.117944962,5.26E-59,1.80E-56
KCNE1,776.5121077,1.623697443,0.101469615,7.52E-59,2.52E-56
PPP1R1A,979.1029794,1.807273803,0.114783636,4.13E-57,1.36E-54
ECH1,6764.581016,1.283613505,0.082156614,3.21E-56,1.03E-53
MYBPH,655.0446465,-2.025780946,0.130026676,6.83E-56,2.15E-53
OR8G5,325.3911643,2.214781891,0.142312694,8.73E-56,2.69E-53
SDC4,2100.528452,1.034432259,0.067284815,1.96E-54,5.93E-52
ABCG2,922.8078603,1.828364745,0.119378326,2.60E-54,7.68E-52
IL21R,911.9714718,-1.683866349,0.110333056,9.68E-54,2.81E-51
SUSD3,638.997115,-2.023849039,0.133721427,6.76E-53,1.93E-50
CAT,4975.297926,0.978432278,0.06508074,4.14E-52,1.16E-49
IGLON5,275.8784375,2.443412504,0.163196752,7.21E-52,1.98E-49
FZD1,301.4984611,-1.763041024,0.117799431,8.42E-52,2.27E-49
ENTPD1,2119.555659,-1.176858576,0.078593391,8.57E-52,2.27E-49
BTG2,2830.457621,-0.89267873,0.059608089,1.08E-51,2.82E-49
SIGLEC10,1454.250622,-1.313672099,0.088382433,4.18E-51,1.07E-48
PCOLCE2,2854.667922,1.183566751,0.080151257,1.67E-50,4.20E-48
RGCC,4728.161543,-0.947461895,0.064077787,1.76E-50,4.34E-48
POU2F2,2458.048036,-1.394515364,0.094508535,2.02E-50,4.91E-48
KLHDC8B,4593.504154,1.394776837,0.094713239,2.65E-50,6.34E-48
VWA5A,6031.164218,0.91724318,0.062278051,4.52E-50,1.06E-47
MCEMP1,727.7025062,1.963231508,0.134002482,6.56E-50,1.52E-47
NFATC2,627.6393036,-1.831993017,0.125146625,1.10E-49,2.51E-47
SHANK3,575.6159148,2.419673706,0.166156127,1.86E-49,4.19E-47
HILPDA,490.1783392,1.474587253,0.101023539,2.11E-49,4.68E-47
RGS16,295.791176,-2.051932306,0.140707192,2.28E-49,4.98E-47
TMEM150B,987.2145221,1.556528295,0.106911214,2.96E-49,6.38E-47
CORO1A,5295.832482,-1.321695317,0.090682176,3.32E-49,7.06E-47
SCIN,1236.17162,-1.190850582,0.08199238,6.97E-49,1.46E-46
RBP4,720.3384766,1.400585607,0.097232263,2.99E-48,6.18E-46
OLFM2,582.0794028,-1.421423196,0.099014433,6.90E-48,1.41E-45
GPR141,275.4523102,-2.392850118,0.167352933,1.17E-47,2.36E-45
PALD1,1891.313172,-1.312265491,0.091721505,1.40E-47,2.78E-45
AOC3,260.5977074,3.311248473,0.233736296,1.57E-47,3.08E-45
ETFDH,1437.3849,1.087770474,0.076063589,1.86E-47,3.60E-45
SIPA1L2,3567.846561,0.96721938,0.067833593,3.02E-47,5.77E-45
ACO1,3771.156742,1.22495416,0.086337426,7.51E-47,1.42E-44
SEMA3G,286.4504211,2.646696634,0.188759699,6.96E-46,1.30E-43
PNPLA3,974.7069463,1.701339129,0.121854506,1.46E-45,2.66E-43
ACAA2,4824.216775,0.94741943,0.067707023,1.46E-45,2.66E-43
SRCIN1,263.5383775,2.919263844,0.209766083,1.73E-45,3.11E-43
KCNJ2,909.2714333,-1.209192401,0.086867399,3.67E-45,6.51E-43
ATP2B4,2989.795475,-0.742439741,0.053351871,6.29E-45,1.10E-42
RND3,1866.863968,1.382719511,0.100130813,1.35E-44,2.34E-42
LMO2,2228.686314,-0.858464887,0.062238015,2.63E-44,4.51E-42
PELI3,643.1208595,1.504260481,0.109414328,3.20E-44,5.43E-42
MYOZ1,935.1013265,-1.117229025,0.081089847,3.48E-44,5.83E-42
MS4A7,13265.90999,0.768304243,0.056077706,1.52E-43,2.52E-41
RPP25,2552.176332,1.286912804,0.094351209,1.73E-43,2.84E-41
VLDLR,428.0214409,1.796429957,0.131955783,1.85E-43,3.00E-41
GRK3,5277.738803,1.070031875,0.078767624,3.74E-43,6.00E-41
ME3,356.5312191,1.583041328,0.117319217,1.02E-42,1.62E-40
DPYSL2,4142.172316,-1.17765754,0.087500311,2.13E-42,3.35E-40
CSF1R,21312.1949,-1.405892064,0.105352714,1.34E-41,2.08E-39
PDE3B,2806.358071,1.159557364,0.087692076,4.65E-41,7.16E-39
ID3,1840.22694,-1.652918827,0.12553736,9.12E-41,1.39E-38
MYO7B,229.5227243,2.817159353,0.214651986,1.10E-40,1.67E-38
CYFIP1,16267.48077,-0.925519557,0.070464327,2.01E-40,3.00E-38
DOCK11,4601.887941,1.259044171,0.096444626,4.40E-40,6.46E-38
LRRC4,263.6338851,-2.357438645,0.180804653,4.41E-40,6.46E-38
CD28,110.7605761,-3.043751276,0.234136597,5.94E-40,8.61E-38
PRKCB,1319.462754,-0.917585066,0.070961733,2.99E-39,4.30E-37
GIMAP4,2079.188384,-1.043551322,0.080837166,3.54E-39,5.04E-37
TPD52L1,631.2279124,1.582895035,0.123409689,7.26E-39,1.02E-36
STOM,6446.991572,0.709256609,0.05532842,1.70E-38,2.38E-36
CTSL,43631.92824,0.896891065,0.070175292,1.93E-38,2.68E-36
P2RY1,1036.638567,1.259583611,0.099991435,1.48E-37,2.03E-35
PLCXD1,1496.955508,1.040726549,0.082636282,1.66E-37,2.26E-35
DLC1,1338.385134,1.276680204,0.101632115,2.22E-37,2.99E-35
GAS6,1428.342478,-1.225261314,0.098835076,2.17E-36,2.90E-34
NCF1,761.0310093,-1.289460101,0.104266737,2.99E-36,3.96E-34
TNFRSF11A,1265.275901,-1.319250183,0.106662261,3.07E-36,4.03E-34
TMEM91,450.3267444,1.434437869,0.116177902,3.25E-36,4.23E-34
DUSP1,1385.185011,1.069337498,0.086696876,4.49E-36,5.79E-34
MRC2,5856.531467,-1.579000408,0.128056974,4.73E-36,6.05E-34
MAFB,8344.046383,-0.85776439,0.06953797,7.23E-36,9.17E-34
TTC39B,1153.915385,1.452748469,0.118922965,1.53E-35,1.93E-33
SLC2A5,2634.751108,-1.397684096,0.114716526,2.42E-35,3.02E-33
ACSL5,940.1948125,1.196013543,0.098290651,3.06E-35,3.78E-33
BLNK,1023.56246,-1.1413415,0.093744729,3.45E-35,4.24E-33
CAMK2D,2494.733458,0.869986574,0.071576989,5.44E-35,6.62E-33
FGL2,273.7122308,-1.927970267,0.159399244,7.61E-35,9.19E-33
CA2,2071.801083,-0.925606075,0.076459727,9.03E-35,1.08E-32
PTGS1,4882.547377,-0.900805507,0.074521107,1.07E-34,1.27E-32
C1orf162,1369.480216,0.950539323,0.078843016,1.62E-34,1.91E-32
ACP5,41011.67395,0.748265287,0.062424538,3.09E-34,3.61E-32
TSPAN13,4663.203082,0.984666244,0.082512131,6.61E-34,7.68E-32
GIMAP8,598.4968923,-1.246759384,0.104627391,7.33E-34,8.44E-32
DLX3,309.2229776,-1.693215443,0.1428398,1.32E-33,1.51E-31
ADGRD1,497.9711782,-1.680551259,0.141885658,1.44E-33,1.63E-31
ADAM12,567.036348,-1.257914969,0.106184625,1.69E-33,1.90E-31
GK,6428.594185,0.889643862,0.075316507,3.07E-33,3.43E-31
GDF15,2200.298997,0.952429674,0.080637717,3.36E-33,3.73E-31
SLC29A3,4941.571161,0.827612755,0.070267066,5.38E-33,5.93E-31
PLIN4,203.5744939,1.874536228,0.159876805,6.66E-33,7.28E-31
LRRK2,604.9136193,-1.240484954,0.105853003,7.94E-33,8.62E-31
RNF128,909.0804784,-1.074845854,0.091789144,9.77E-33,1.05E-30
PTCRA,231.0945043,-1.594388445,0.137054699,2.00E-32,2.14E-30
ANTXR2,1109.015457,-0.946355274,0.081251308,2.17E-32,2.30E-30
RDH10,2059.493681,1.051382417,0.090353478,2.21E-32,2.34E-30
NAIP,1512.244135,-1.215001425,0.104744315,3.34E-32,3.50E-30
NCEH1,16175.21089,0.850381109,0.073383557,4.68E-32,4.87E-30
CLMN,1378.560396,1.000547286,0.086842716,1.18E-31,1.22E-29
SLC7A5,6814.935926,-1.290711656,0.112433797,1.30E-31,1.34E-29
CABLES1,2991.492806,1.130216907,0.098539645,1.44E-31,1.47E-29
CH25H,318.01893,-1.481671348,0.129707748,2.16E-31,2.19E-29
SLC25A20,1210.102517,1.193626336,0.104813257,3.27E-31,3.29E-29
NLRC4,1618.097987,0.853866991,0.074906895,4.13E-31,4.13E-29
BCAR1,1142.574029,1.213998975,0.10692878,5.08E-31,5.04E-29
DGAT2,509.5856041,1.587677654,0.140160835,5.67E-31,5.60E-29
ABHD5,1635.717623,1.080080203,0.095412199,7.90E-31,7.74E-29
F13A1,83.49662709,-3.546766871,0.313915416,8.05E-31,7.84E-29
BCAR3,1480.411628,0.93135383,0.0822096,8.41E-31,8.14E-29
OPN3,1248.727269,1.063777537,0.094065577,9.01E-31,8.66E-29
MARCKS,5034.085158,-0.92162812,0.081680289,1.61E-30,1.53E-28
GAL3ST4,1768.534075,-1.58260906,0.141105979,2.45E-30,2.32E-28
TMEM63A,5225.950044,0.811567904,0.07263267,5.57E-30,5.25E-28
SYTL3,851.7163241,-1.06028954,0.095205107,7.31E-30,6.85E-28
CYTH3,1871.783106,-1.605350054,0.144845017,1.05E-29,9.74E-28
ZNF589,2411.612531,0.853463654,0.076753425,1.32E-29,1.22E-27
CSTB,20440.67507,0.870872261,0.078621488,1.61E-29,1.48E-27
LFNG,1595.720806,1.114034882,0.100990504,1.97E-29,1.81E-27
ADGRG5,112.9593514,-2.255569437,0.204896158,2.02E-29,1.83E-27
CYP19A1,227.401712,-2.549067614,0.231881605,2.08E-29,1.88E-27
GLIPR2,5617.010346,0.845440965,0.076539525,2.17E-29,1.95E-27
DCLK2,235.7197457,-1.421036784,0.129140846,2.48E-29,2.21E-27
ICOSLG,2790.08721,-0.881271641,0.080067226,3.07E-29,2.72E-27
NMB,785.838612,0.999035145,0.090865589,3.41E-29,3.01E-27
JAKMIP2,686.4606379,1.052623233,0.095835971,3.60E-29,3.15E-27
PLD4,2323.580459,-1.230066375,0.111950772,3.62E-29,3.15E-27
GTSE1,833.6350513,-0.87136988,0.07916313,3.64E-29,3.16E-27
TPX2,1696.03199,-0.866952548,0.07882713,4.06E-29,3.50E-27
EIF4EBP2,8260.79031,0.604328702,0.054801483,4.86E-29,4.17E-27
FOS,3579.251495,0.843892603,0.076934369,5.59E-29,4.77E-27
SYNE1,1159.657068,-1.12800964,0.103481245,9.32E-29,7.90E-27
HHEX,669.6984957,-0.902165297,0.082683787,9.74E-29,8.21E-27
HSDL2,1522.251442,1.065398218,0.097717731,1.00E-28,8.40E-27
ACP3,126.2350826,-1.962854213,0.180842628,1.19E-28,9.91E-27
DENND3,3804.513421,-1.142980165,0.105114459,1.23E-28,1.02E-26
CDC20,958.7043358,-0.976766328,0.089729313,1.24E-28,1.02E-26
CENPF,1807.144752,-0.954534565,0.087657521,1.25E-28,1.02E-26
ANXA1,22951.81093,0.981308428,0.090443076,1.53E-28,1.25E-26
ABCA1,4832.251338,0.989581955,0.091247648,2.00E-28,1.62E-26
GPA33,242.0850263,1.832471187,0.169657329,2.29E-28,1.85E-26
RMDN3,6154.511168,0.825450955,0.076163798,2.31E-28,1.86E-26
ACOT2,4813.405479,0.674300577,0.062213929,3.02E-28,2.41E-26
ARHGEF28,333.1269554,2.006961343,0.187574332,4.29E-28,3.41E-26
TMEM121B,241.4421755,-1.490703631,0.138838221,4.57E-28,3.61E-26
NUP214,2668.201512,1.429182882,0.133596786,5.67E-28,4.46E-26
ADRB2,144.0070588,-1.682355534,0.157505463,8.67E-28,6.78E-26
GABRE,1212.500837,1.408927786,0.132656565,1.42E-27,1.11E-25
KCNAB2,11275.86426,0.849836655,0.079335557,1.57E-27,1.21E-25
SH3D21,1805.07327,1.252395233,0.118021668,1.71E-27,1.32E-25
CD82,5974.23697,1.163642431,0.110142981,1.94E-27,1.49E-25
LPXN,3780.077138,0.735098451,0.068996463,1.98E-27,1.51E-25
RCSD1,1691.169175,-1.161638665,0.109415739,2.06E-27,1.56E-25
PADI2,960.022555,-1.443576566,0.136243496,2.36E-27,1.78E-25
A2M,44717.74511,-0.650270062,0.06114207,3.04E-27,2.28E-25
MAN1C1,2189.975187,-0.945244088,0.089417363,3.78E-27,2.82E-25
PLEK,5813.956449,-0.662712944,0.06262895,4.50E-27,3.34E-25
CDKN2C,779.0513178,-1.165523165,0.110980564,6.70E-27,4.96E-25
FCGBP,9008.219214,-2.239542338,0.213797055,8.77E-27,6.43E-25
PTPRF,1850.017343,1.183293578,0.113127247,8.78E-27,6.43E-25
AQP9,9093.297689,1.005725945,0.096031086,9.04E-27,6.59E-25
HLA-DMA,976.3506994,-1.03154022,0.098480194,9.76E-27,7.08E-25
EYA2,378.6003105,-1.390747855,0.133198026,1.16E-26,8.40E-25
PPP1CC,5966.076458,0.839820219,0.080141161,1.28E-26,9.21E-25
HLA-DRB1,2300.513875,-0.838848087,0.080083561,1.32E-26,9.41E-25
APOBEC3B,346.9645916,-1.234099034,0.118295182,1.32E-26,9.41E-25
AIF1,2497.627281,-1.038832882,0.100281967,1.71E-26,1.21E-24
PAK1,1873.627125,-0.708611214,0.067786924,1.78E-26,1.26E-24
KCNMB1,247.1380276,-1.350228209,0.130434158,2.91E-26,2.04E-24
RGL3,1466.621343,1.113397034,0.1075475,2.97E-26,2.08E-24
OLFML3,273.7944296,-2.134883836,0.206405018,3.02E-26,2.10E-24
LIMD2,2906.11928,-0.967092389,0.093521706,4.10E-26,2.84E-24
UNC5B,1135.306132,-0.942800774,0.091151778,4.20E-26,2.90E-24
CYTH4,5415.463678,-0.783044143,0.075651475,4.88E-26,3.35E-24
DEGS1,4273.147218,0.723209587,0.069963072,6.19E-26,4.22E-24
TRAF3IP2,805.362075,1.091990645,0.106218926,6.23E-26,4.23E-24
BLVRB,2516.304621,0.978003484,0.095118359,7.25E-26,4.90E-24
NDRG2,2156.818914,-0.78053087,0.075876181,7.72E-26,5.20E-24
HLA-DMB,4037.828513,-1.26433017,0.123512146,1.12E-25,7.53E-24
DENND2D,2902.611348,0.767198282,0.07477967,1.17E-25,7.80E-24
GPR183,438.1784,-1.20146989,0.117538871,1.22E-25,8.10E-24
KCNIP2,321.214486,1.334330902,0.131475991,2.35E-25,1.55E-23
SH3TC1,4124.583706,-0.785977634,0.077209414,2.37E-25,1.56E-23
TBC1D14,3364.946379,-0.674087781,0.06608869,3.16E-25,2.08E-23
MKI67,4461.802348,-0.990238948,0.098120418,5.25E-25,3.43E-23
ST8SIA4,772.4976642,-1.347744853,0.134190345,6.96E-25,4.53E-23
MAP3K8,759.805343,1.078310636,0.107348959,7.33E-25,4.75E-23
PFKP,5542.128144,-0.857508284,0.08525072,7.52E-25,4.85E-23
SRGAP2,2502.930494,-0.765806275,0.07594093,7.82E-25,5.02E-23
PLK1,1358.205615,-0.9358735,0.093169157,9.18E-25,5.87E-23
ATP8B4,841.0754314,-1.31755641,0.131742838,1.04E-24,6.62E-23
CD52,4271.035116,2.100812063,0.210939952,1.09E-24,6.89E-23
PDE3A,174.0795025,-1.864839531,0.187166006,1.14E-24,7.23E-23
UBE2R2,4001.157771,0.572567179,0.056787448,1.17E-24,7.38E-23
NLRP3,391.4955005,-1.469131254,0.147345929,1.33E-24,8.31E-23
TSPAN33,955.0803541,-1.05506839,0.105855228,1.83E-24,1.14E-22
SPRY2,714.3171506,-1.063976154,0.106990262,2.22E-24,1.38E-22
KLF11,930.5461489,0.857268332,0.086102782,2.25E-24,1.39E-22
FN1,327332.8061,-0.683211551,0.068361234,2.27E-24,1.40E-22
TRIB1,854.4539757,-0.890194695,0.089646468,2.96E-24,1.81E-22
P2RY13,177.2340658,-1.814329191,0.183365909,2.97E-24,1.81E-22
CD300A,1215.062628,0.834054912,0.084110845,3.40E-24,2.07E-22
ID1,257.1856777,-1.579245598,0.15978799,3.41E-24,2.07E-22
HLA-DRB4,833.7383705,-0.732125749,0.07371875,3.76E-24,2.27E-22
SORL1,6275.196692,-1.15300204,0.116818542,4.57E-24,2.75E-22
LILRB4,1899.057981,-0.91643401,0.0928315,5.30E-24,3.17E-22
CYBB,36712.15932,-0.605509226,0.061069621,6.14E-24,3.66E-22
FOXM1,1037.995902,-0.767488533,0.077727933,6.67E-24,3.96E-22
BIN1,2015.512943,-0.786536307,0.079729027,6.69E-24,3.96E-22
RARA,1267.730387,1.118420574,0.114211381,8.76E-24,5.16E-22
TGM2,72456.92863,0.890065482,0.090706477,8.96E-24,5.23E-22
RAB42,3958.479004,0.836148948,0.085033846,8.97E-24,5.23E-22
SLC1A4,1731.586845,-0.921795688,0.093860771,8.97E-24,5.23E-22
RASSF2,1807.968565,-0.692336443,0.070342779,9.99E-24,5.80E-22
PITPNM3,204.1055647,-1.79739075,0.184611625,1.35E-23,7.82E-22
PIMREG,138.8838227,-1.595286555,0.164062761,1.56E-23,8.98E-22
DDIT4L,8052.206437,0.568297172,0.05773713,1.60E-23,9.21E-22
MBOAT1,702.0492185,-0.911674767,0.093413526,1.64E-23,9.35E-22
SNX10,10087.61163,0.984317112,0.101560274,1.73E-23,9.85E-22
CAPN11,253.3563688,1.265610438,0.130424948,2.10E-23,1.19E-21
MEF2C,2598.210065,-1.034727349,0.106565672,2.33E-23,1.32E-21
SLC31A2,2361.470281,0.714894852,0.07337145,2.39E-23,1.35E-21
ARHGAP27,2164.160025,-0.739894425,0.076091543,2.44E-23,1.37E-21
RASSF5,2135.583825,-0.76592783,0.078670301,2.46E-23,1.37E-21
CARD11,442.0332214,-1.270482817,0.13101587,2.72E-23,1.51E-21
TMEM170B,1492.993719,0.95135645,0.098285808,3.11E-23,1.73E-21
BLVRA,1905.882769,0.774274913,0.079858585,3.66E-23,2.03E-21
TMEM51,2344.31347,-0.758386346,0.078203646,3.97E-23,2.19E-21
P2RY11,2048.398633,-1.018589642,0.105504165,4.18E-23,2.29E-21
RB1,2711.723025,-0.934798972,0.096800404,4.22E-23,2.31E-21
ACSL1,11116.99937,0.93399732,0.096833042,4.59E-23,2.50E-21
SLC19A2,439.733663,1.069681596,0.111256039,5.32E-23,2.89E-21
PTPRG,1700.866208,-0.836459031,0.086880429,6.63E-23,3.59E-21
TMEM38B,1620.545163,0.967322619,0.101046217,8.59E-23,4.63E-21
CISD2,1889.070064,0.894331402,0.093491207,9.91E-23,5.32E-21
ADGRE4P,408.2009176,-1.151530845,0.120941644,1.41E-22,7.53E-21
HMOX1,8028.683607,0.704068633,0.073766924,1.46E-22,7.79E-21
LPCAT2,4383.319125,-0.71649029,0.075129079,1.48E-22,7.85E-21
INF2,6046.88874,0.712720079,0.074693193,1.70E-22,8.99E-21
MLXIPL,1808.210645,-1.452438402,0.153561168,2.26E-22,1.19E-20
NEDD9,1096.20623,-0.822507241,0.086751828,2.69E-22,1.41E-20
SEMA3C,1327.34949,1.290737717,0.137060898,2.85E-22,1.49E-20
MACC1,616.9623825,1.140366894,0.120871534,2.87E-22,1.50E-20
VKORC1L1,2696.612397,0.806690752,0.085165283,3.19E-22,1.66E-20
DEF6,1247.271822,-0.944397046,0.100218493,3.56E-22,1.84E-20
SPRY1,523.1650252,1.002767827,0.106457802,3.81E-22,1.97E-20
GCHFR,5311.778262,0.891369117,0.094637317,4.35E-22,2.24E-20
MFHAS1,3134.495544,0.823036959,0.086923678,4.43E-22,2.27E-20
PHLDA1,3411.362536,0.877677204,0.093425225,5.27E-22,2.70E-20
RBP7,151.3487409,2.767815396,0.296683616,5.36E-22,2.73E-20
SCIMP,1580.437572,-0.783916876,0.083312693,5.67E-22,2.88E-20
ADORA3,738.6302586,-1.219792566,0.130228224,6.21E-22,3.14E-20
P2RY12,478.9986692,-1.395315617,0.149707357,8.64E-22,4.36E-20
AGRP,204.6630144,2.170380031,0.23384739,9.68E-22,4.87E-20
TNFRSF1B,5485.655855,-0.89418523,0.095885629,1.08E-21,5.42E-20
HPGDS,1820.980368,-1.006027801,0.108065492,1.14E-21,5.72E-20
MGST1,352.4729033,1.160930479,0.125033742,1.21E-21,6.05E-20
FCGR2A,2837.686426,-0.730937981,0.078406015,1.24E-21,6.17E-20
CXCL3,158.8575329,1.812784277,0.195758873,1.30E-21,6.43E-20
KIFC1,691.7898568,-0.898713393,0.096640512,1.31E-21,6.48E-20
SNCAIP,165.9584534,1.863446113,0.201105097,1.33E-21,6.52E-20
S1PR2,1090.328982,-0.828907305,0.089200773,1.61E-21,7.89E-20
CD74,22118.27572,-0.750959097,0.080673013,1.76E-21,8.62E-20
ARID5B,801.9890296,-0.901372261,0.097346257,1.98E-21,9.62E-20
CORO2A,1428.203405,0.699445472,0.075299348,2.03E-21,9.87E-20
SPSB1,1934.510134,0.678895346,0.07315192,2.23E-21,1.08E-19
NRGN,447.9448337,-1.363384457,0.14808353,2.33E-21,1.12E-19
UNG,877.2402475,0.775399828,0.083819862,2.58E-21,1.24E-19
RNF149,7485.796262,0.549007695,0.05879299,2.63E-21,1.26E-19
PLPP4,443.4979095,1.124451636,0.122322468,2.72E-21,1.30E-19
ITPR3,232.5187236,1.455233886,0.158675945,2.96E-21,1.41E-19
FPR1,61.91845049,-2.514638633,0.274288551,3.01E-21,1.43E-19
PDE8A,2777.771268,0.726560715,0.078478591,3.10E-21,1.47E-19
MMP19,3061.791825,0.918357895,0.099833323,3.43E-21,1.62E-19
SQSTM1,25218.7987,0.867356956,0.094372578,3.60E-21,1.69E-19
CYREN,1933.576965,0.982370478,0.107268804,4.20E-21,1.97E-19
ANTXR1,470.0633162,-1.288625081,0.140978464,4.73E-21,2.21E-19
CCNF,713.4826499,-0.807603399,0.088081502,5.34E-21,2.49E-19
YWHAH,4686.956735,-0.700131562,0.076205879,5.40E-21,2.51E-19
IRAG2,421.8773372,-1.119092464,0.12245106,5.42E-21,2.51E-19
TSPAN3,10382.93018,0.490159127,0.053013024,5.63E-21,2.60E-19
ARHGAP26,1521.04279,-0.910953095,0.10098885,6.57E-21,3.02E-19
IGSF6,5885.931776,-0.644925691,0.07039712,6.76E-21,3.10E-19
KLHL6,10297.54778,0.609858698,0.066848519,7.14E-21,3.26E-19
CD1C,94.80286078,-1.877867466,0.20699686,7.78E-21,3.55E-19
ZNF366,494.5420162,1.280138443,0.142131753,1.39E-20,6.30E-19
CITED2,9014.767776,0.724647649,0.079862884,1.46E-20,6.61E-19
GLP2R,172.7056515,2.117350041,0.237685642,1.60E-20,7.24E-19
PTPN7,1897.184149,-0.714484603,0.078918389,1.78E-20,8.03E-19
CLDN23,637.9731243,0.786976836,0.087189407,1.94E-20,8.67E-19
CD180,1111.364622,-0.876340097,0.097158999,1.94E-20,8.67E-19
SAMSN1,1165.71026,-1.214527354,0.135527399,2.37E-20,1.06E-18
DFFA,1619.816673,0.613216853,0.067832841,2.43E-20,1.08E-18
DIXDC1,561.2114501,0.992820599,0.110769724,2.64E-20,1.17E-18
DAG1,1397.767466,0.789167274,0.087860625,2.97E-20,1.31E-18
GOLGA7B,1127.267242,0.849889602,0.094823869,3.01E-20,1.33E-18
LMNB1,1222.841167,-0.763591319,0.08516217,3.54E-20,1.56E-18
SMOX,790.3917935,-0.821565072,0.091745665,3.66E-20,1.61E-18
UROS,1649.869208,0.641159531,0.071348609,3.69E-20,1.61E-18
RAB7B,1196.772344,0.691671065,0.077036936,3.72E-20,1.62E-18
IFNAR2,2405.143668,0.677678145,0.07564063,4.33E-20,1.88E-18
CLIP4,3259.573857,0.848406484,0.095263422,5.16E-20,2.24E-18
CIITA,833.7111987,-1.358197051,0.153230654,5.24E-20,2.26E-18
PEX19,2962.695073,0.659290183,0.073764094,5.24E-20,2.26E-18
SDC1,400.6411865,1.323709299,0.149523853,5.38E-20,2.31E-18
NUPR1,17127.56736,0.741524234,0.083312183,6.44E-20,2.76E-18
CD4,11045.76802,-0.597899983,0.067144639,9.17E-20,3.92E-18
RPS6KL1,557.8696499,0.919181783,0.104468854,1.16E-19,4.92E-18
TMIGD3,1818.364955,-0.734525866,0.083046247,1.17E-19,4.95E-18
CHST15,1457.97138,-1.036593804,0.11783966,1.23E-19,5.21E-18
GNG2,750.5593605,-1.419580675,0.162200094,1.48E-19,6.26E-18
LGALS12,42.94142902,-2.850197171,0.325972839,1.49E-19,6.27E-18
SCCPDH,3264.039713,0.709368547,0.080523628,1.55E-19,6.51E-18
PPM1M,3808.752536,-0.579561351,0.065507151,1.60E-19,6.71E-18
KAZN,502.9270631,0.914859381,0.104359165,1.67E-19,7.00E-18
TLCD2,703.2014412,0.79249638,0.090404487,2.00E-19,8.35E-18
TGFBI,19461.113,-0.745347985,0.085375825,2.75E-19,1.14E-17
CDCA8,417.2946813,-0.940755653,0.108254046,3.35E-19,1.39E-17
