,baseMean,log2FoldChange,lfcSE,pvalue,padj
SDC3,1932.719152,-0.370732249,0.102101391,1.75E-05,0.002090096
NHP2,1087.674303,0.249876261,0.067378388,1.86E-05,0.002176678
ATN1,3733.670489,-0.290473364,0.079271318,1.88E-05,0.002176678
FAR1,3578.518171,0.225127591,0.060158941,1.89E-05,0.002176678
SLC28A3,894.4190412,0.258594858,0.070393433,2.03E-05,0.002308519
PNPLA6,6498.432447,-0.256449323,0.069722562,2.06E-05,0.002320922
PPP2R1A,6829.961604,-0.162214509,0.042227369,2.14E-05,0.002386053
BLOC1S6,2809.389452,0.191180046,0.050710068,2.25E-05,0.002480184
MTHFD2,9032.416561,0.25259775,0.069329325,2.33E-05,0.002528983
SEZ6L2,868.8939723,-0.276333157,0.076362576,2.34E-05,0.002528983
SPI1,23771.3718,-0.220125605,0.059821348,2.45E-05,0.002619688
PNPLA2,2979.893311,-0.375965094,0.106599578,2.55E-05,0.0026946
SOX12,1017.434436,-0.278178925,0.077560612,2.65E-05,0.00277153
TOM1,5173.602309,-0.252515485,0.07004524,2.78E-05,0.00287335
TCIRG1,15509.13508,-0.255204918,0.07292381,2.87E-05,0.002944343
ERBB2,295.095986,-0.437269499,0.127244665,2.96E-05,0.002997628
KIF2A,1631.020868,0.206097343,0.056302009,3.00E-05,0.003015718
VPS26A,3078.525786,0.247217753,0.069025107,3.03E-05,0.003015718
VPS28,2228.463984,-0.215179546,0.059150006,3.08E-05,0.003033497
SYVN1,2196.412245,-0.258620557,0.072834474,3.17E-05,0.003090778
CD74,25622.12396,-0.223735843,0.063630237,3.24E-05,0.003129397
IMPACT,1303.377075,0.279520759,0.079548503,3.28E-05,0.003140744
CYBA,22884.66663,-0.258925617,0.073993767,3.40E-05,0.003210838
C1QC,33478.60768,-0.235251325,0.064831285,3.42E-05,0.003210838
ANKRD42,503.862019,0.372511074,0.109011288,3.51E-05,0.003256426
TGFBR1,10721.07586,0.241435115,0.06797553,3.53E-05,0.003256426
LMTK3,93.04068989,-0.797062363,0.240058279,3.73E-05,NA
TFEB,2541.47959,-0.211833668,0.058948593,3.78E-05,0.003418017
HNRNPA3P6,52.54259683,1.056492161,0.322804249,3.81E-05,NA
RHBDD2,3070.621232,-0.232531335,0.065718925,3.81E-05,0.003418017
WDR7,1333.548319,-0.315099471,0.091510824,3.85E-05,0.003418017
UFL1,1489.684577,0.22307379,0.062660916,3.85E-05,0.003418017
MIIP,1199.728264,-0.300487057,0.08707517,3.87E-05,0.003418017
WDR81,5079.442102,-0.221719902,0.062304585,4.00E-05,0.00350166
IRF2BPL,3232.731897,-0.287934649,0.083348347,4.10E-05,0.003557241
MRPS10,888.1528731,0.285727631,0.082386881,4.27E-05,0.003657021
ARSA,2365.771912,-0.286814311,0.08318613,4.29E-05,0.003657021
TSKU,1264.632559,-0.331697334,0.097763934,4.36E-05,0.003662792
FOSL2,1606.83484,-0.262292953,0.075709721,4.37E-05,0.003662792
CLSTN1,4963.917954,-0.240720117,0.068872378,4.47E-05,0.00371671
CDC6,236.2420531,0.473897981,0.144080887,4.51E-05,0.00371671
MYBPH,1044.183772,-0.326286181,0.096569922,4.71E-05,0.003828873
C2,4463.474881,-0.230635712,0.066205969,4.72E-05,0.003828873
POGLUT3,606.5300154,0.314930182,0.093310236,4.76E-05,0.003828873
SLC15A3,18910.65109,-0.189450104,0.051864842,4.86E-05,0.003880309
RPS6KB1,1011.61396,0.29824147,0.088262243,4.97E-05,0.003938614
CXADR,2388.852065,0.225968206,0.064834226,5.04E-05,0.003959893
ATP6V0C,26074.81636,-0.207935385,0.061893367,5.22E-05,0.004069625
GRAMD1A,2915.384433,-0.240056702,0.068783336,5.57E-05,0.004313932
CFD,368.1939621,-0.428208033,0.131155822,5.62E-05,0.004320726
NECAB3,320.4846294,-0.396601255,0.12116744,5.67E-05,0.00432293
IPO7,4737.356546,0.237020961,0.069245129,5.72E-05,0.004330914
SSH3,843.7122279,-0.367134937,0.111868201,5.81E-05,0.004343553
ACSL4,5330.755376,0.247515571,0.073507978,5.86E-05,0.004343553
CD68,48150.39779,-0.24453046,0.071666796,5.89E-05,0.004343553
AMDHD2,2346.636952,-0.312427586,0.093785773,5.91E-05,0.004343553
PCNP,3179.774413,0.20837512,0.060149201,6.29E-05,0.004530362
ITPRID2,3155.818599,0.196089105,0.055668263,6.32E-05,0.004530362
EVA1B,934.0355976,-0.248984859,0.073569119,6.34E-05,0.004530362
TECR,3344.100302,-0.19247809,0.055089493,6.34E-05,0.004530362
PI4KA,5313.004058,-0.200368592,0.057747503,6.46E-05,0.00457865
HIBCH,563.4752069,0.372879838,0.115191515,6.50E-05,0.00457865
BCAR1,573.9731859,-0.342929671,0.104936004,6.59E-05,0.004612069
CACTIN,1049.408702,-0.242881087,0.071980264,6.69E-05,0.004624139
METTL2B,472.1086009,0.339767839,0.104508031,6.73E-05,0.004624139
RAPGEF6,719.5666624,0.319163243,0.097697388,6.75E-05,0.004624139
SLC2A8,807.858917,-0.254453852,0.075984804,6.87E-05,0.004674605
CD37,960.2832844,-0.267111402,0.080256557,6.97E-05,0.004714987
RTRAF,1440.241784,0.311781088,0.095647473,7.09E-05,0.004726133
RELA,2550.062303,-0.23545509,0.069816158,7.10E-05,0.004726133
ITSN1,1106.216284,-0.266281892,0.080182086,7.13E-05,0.004726133
POLR2A,10196.47638,-0.23788207,0.07074835,7.23E-05,0.004741404
TWF1,1689.440085,0.219772544,0.064792432,7.24E-05,0.004741404
SLC9B2,183.1974446,0.527598575,0.169362361,7.57E-05,NA
RTL8C,2276.003529,-0.261883428,0.079069437,7.65E-05,0.004968157
ARMT1,2138.960949,0.299489651,0.092328919,7.69E-05,0.004968157
DNAJC10,3762.501756,0.258910793,0.078452067,7.77E-05,0.004978777
MYADM,2766.093699,-0.336307565,0.104331128,7.82E-05,0.004978777
ATF6B,4806.680759,-0.289261491,0.088424279,7.89E-05,0.004978777
RNF114,2646.450379,-0.194754321,0.056870649,7.90E-05,0.004978777
INF2,3559.400344,-0.280759793,0.086017557,8.00E-05,0.004993709
ALCAM,21378.53098,0.172368416,0.049206651,8.02E-05,0.004993709
ABO,37.38053968,-1.291869171,0.424639181,8.08E-05,NA
MAP3K10,638.7184799,-0.255278271,0.077457847,8.30E-05,0.005133342
TAPBP,8204.451231,-0.332325578,0.107011531,8.48E-05,0.005214824
TIMP2,15596.26349,-0.157330405,0.045019526,8.56E-05,0.005231338
CITED2,5356.677417,-0.19156317,0.056279515,8.82E-05,0.005344366
HAGHL,775.8180807,-0.351975259,0.111093074,8.85E-05,0.005344366
IRS2,1605.279005,-0.272878482,0.083983753,8.92E-05,0.005354297
PCNX4,1229.019682,0.250573073,0.076632791,9.08E-05,0.005411256
TCEA1,2527.404289,0.226987449,0.068590527,9.12E-05,0.005411256
TBRG1,1835.597397,-0.26802319,0.082583864,9.23E-05,0.00544166
DEK,4594.055979,0.188249161,0.055688761,9.68E-05,0.005676956
TESK1,2410.503435,-0.266106279,0.082900638,9.96E-05,0.005808017
DYRK1B,452.3327108,-0.371669811,0.119326592,0.000101838,0.005903109
GAK,5647.566237,-0.205410423,0.062258505,0.000102503,0.005907906
