,baseMean,log2FoldChange,lfcSE,pvalue,padj
REXO2,759.0790655,0.211166632,0.088408528,0.002404947,0.022575071
DGLUCY,1998.959248,-0.178085534,0.07059363,0.002408976,0.022596299
CMSS1,326.4055453,0.250856025,0.111504943,0.002416834,0.022653392
EIF2B3,593.8618335,0.253587231,0.113382674,0.002418807,0.022655269
SNX8,4045.892596,-0.159963644,0.060777659,0.002426393,0.022697974
MEGF8,2653.911935,-0.219478946,0.094092437,0.002429482,0.022697974
NUDT14,1042.991766,-0.196525698,0.080168936,0.002429527,0.022697974
ABCD1,3679.243154,-0.188892408,0.076480714,0.002430467,0.022697974
NECAB3,320.4846294,-0.270622611,0.122356493,0.002435985,0.022732898
SPPL3,1283.40584,-0.185137497,0.074370573,0.002438248,0.02273742
SLFN5,5061.234156,0.193539928,0.079358372,0.002444463,0.022778758
TMEM170B,830.1682424,-0.176424052,0.070680546,0.00244833,0.022798182
NCL,13823.51826,0.160894871,0.062157393,0.002457583,0.02286768
NIP7,824.9986544,0.204251099,0.084681218,0.002474881,0.023011892
SH3BP1,5957.112309,-0.20430135,0.0846743,0.002481006,0.023052079
HEATR1,1447.942968,0.171914725,0.067856469,0.002485308,0.023061703
NDUFAF2,308.453456,0.282070832,0.131242069,0.002485649,0.023061703
CUL9,1218.002789,-0.237569246,0.103645665,0.00248812,0.023062156
RUSF1,2085.623694,-0.170739308,0.067173768,0.002489306,0.023062156
TUBA1B,18754.92546,0.158603973,0.061548098,0.002504449,0.023185648
FUCA2,4448.223743,0.139649986,0.052411841,0.002509641,0.023216907
B3GALNT2,673.1728816,0.264490664,0.120472082,0.002518852,0.023285266
COQ10B,709.4517668,0.20639499,0.086517582,0.002532351,0.023381343
HIBCH,563.4752069,0.257078403,0.116138376,0.002532903,0.023381343
GABARAP,8607.610665,-0.137394688,0.051296668,0.00253668,0.023399322
ABI3,4835.228259,-0.189859153,0.077353301,0.002564131,0.023635485
NABP1,3763.103869,0.17888472,0.071828261,0.002574482,0.023713795
TMEM39B,364.4546446,-0.271189842,0.124952842,0.002580415,0.023751337
MMP19,2049.691762,0.147380016,0.056133457,0.002582599,0.023754337
RRS1,625.5272568,0.198927042,0.08254651,0.002590915,0.023813693
NOP2,1354.992404,0.205307215,0.086273259,0.002598283,0.023854863
RGS12,6660.040699,-0.165360016,0.066006356,0.002599126,0.023854863
MBOAT7,2267.152237,-0.200934434,0.083198741,0.002606071,0.02390145
AKT1S1,2067.400929,-0.177269132,0.070959952,0.002610191,0.023922074
NAIP,2328.378103,-0.187656857,0.07641618,0.002631706,0.024101982
CASTOR2,377.2797055,-0.329296173,0.163192968,0.002639916,0.024159857
ZSWIM8,3327.540237,-0.171879626,0.068391481,0.002648902,0.02422476
MTRF1L,768.2553724,0.225746051,0.095041133,0.002652901,0.024233769
LSM8,970.5419808,0.291319319,0.138828055,0.002653678,0.024233769
GADD45GIP1,887.8720668,0.199389082,0.083309756,0.002663434,0.024299957
NOP56,2315.096967,0.148845976,0.057078205,0.002666898,0.024299957
IRAK2,289.7933576,0.298113853,0.143999768,0.002667485,0.024299957
PBK,177.5936088,0.356854884,0.185131233,0.002668529,0.024299957
ANP32A,4088.943169,0.163502812,0.064106864,0.002680341,0.024390149
MT-ATP6,115919.0015,-0.167079662,0.066044879,0.002686703,0.024430648
IRF5,4597.048327,-0.189455925,0.077914039,0.002700575,0.024539344
DSTYK,662.4239186,-0.177536303,0.07161411,0.002702935,0.024543344
TAF6,1448.015147,-0.182418983,0.074170521,0.002716424,0.024648317
SVOP,14.63377343,-0.071972426,0.142020886,0.002720733,NA
SNCG,94.77318245,0.453606764,0.255485262,0.002722393,0.024684958
FABP3,2520.219233,-0.17829717,0.072182535,0.00273269,0.024759808
TMEM127,2445.648437,-0.138230127,0.052229737,0.002735535,0.024759808
CNBP,7996.008309,0.145741247,0.055814289,0.0027365,0.024759808
SAMD1,1541.057241,-0.192814899,0.079999309,0.002738394,0.024759808
CARD14,337.5833867,-0.288754391,0.137942247,0.002744591,0.024798299
GPR3,21.8697807,0.82641682,0.530694379,0.002759386,NA
ITGA7,209.1571857,-0.335487607,0.170143671,0.002765804,0.024952934
JADE1,491.5717268,0.244721157,0.110609397,0.002765912,0.024952934
KCNMA1,2686.062803,-0.158106911,0.061915984,0.002769133,0.024952934
GTF3C6,1562.595807,0.221121985,0.097045132,0.002769512,0.024952934
TMEM268,969.0497288,0.166031252,0.065979101,0.002777954,0.025011366
S100A6,3653.244965,0.181679272,0.073760739,0.002790321,0.025098129
HDAC7,2522.073647,-0.182539912,0.074658422,0.002793466,0.025098129
NUP107,1115.510145,0.171629509,0.068926019,0.00279348,0.025098129
PCNX4,1229.019682,0.182016301,0.074481384,0.002813847,0.025235008
GBA1LP,117.8503435,-0.394894752,0.211614778,0.002813905,0.025235008
TYSND1,489.6991101,-0.227329881,0.100053816,0.002814636,0.025235008
LMNTD2,178.0550105,-0.350681522,0.180626556,0.00282066,0.025271297
CHD4,11877.10424,-0.13844258,0.05284552,0.002833093,0.02536491
SDAD1,1140.224759,0.178124681,0.072499188,0.002836203,0.02537499
EIF2AK2,4921.778291,0.237553986,0.107014722,0.002845589,0.025441155
PDCD4,3400.275495,-0.157365959,0.061792286,0.002863622,0.025584493
RFNG,763.7714222,-0.244738151,0.110926891,0.002867328,0.025588864
PKIB,364.5163021,0.362983314,0.193449137,0.002868114,0.025588864
SP100,3886.085469,0.150147696,0.058327352,0.002874315,0.025626304
TBC1D17,1555.873807,-0.196931633,0.083046624,0.002889181,0.025740891
SMIM13,772.5854587,0.184387168,0.076031088,0.002900776,0.02578902
SHB,755.7101531,-0.196136638,0.082413526,0.002901335,0.02578902
CYBC1,2946.702183,-0.16615196,0.066294937,0.002901602,0.02578902
SRGAP2B,1708.343358,0.235655498,0.106255853,0.002902652,0.02578902
ACSS1,1133.863247,-0.175468845,0.071391783,0.002907053,0.025810191
RAD54L,295.8038236,0.313479794,0.15819684,0.002923014,0.025925816
MYO9B,18063.75708,-0.208943162,0.090653429,0.002924132,0.025925816
MYPOP,407.1959274,-0.254182216,0.117470016,0.002934437,0.025999157
WFDC21P,176.807335,0.355720085,0.188600091,0.002946111,0.026084505
CHPT1,794.0920521,-0.17483799,0.071379066,0.002955942,0.026146865
CAPN5,142.7916874,-0.33558919,0.173068931,0.002957244,0.026146865
SDS,766.5252264,-0.197774452,0.083729078,0.002964628,0.026194034
SLC22A17,12.57714785,-0.092240189,0.172117528,0.002973065,NA
EPB41L2,9033.380836,-0.148459522,0.057530997,0.002975109,0.026268484
VLDLR,192.009292,0.350646571,0.185339854,0.002977967,0.026271796
CCDC22,1016.029212,-0.18332664,0.075661999,0.002979594,0.026271796
MGMT,211.4024216,-0.286498813,0.139036847,0.002986294,0.02631025
PAFAH1B2,2306.836933,0.146382036,0.05678825,0.002990191,0.02631025
LYRM2,1482.113464,0.215442604,0.094448989,0.002992149,0.02631025
CCL8,109.3121991,0.905803197,0.695330976,0.002992186,0.02631025
PYM1,959.3321864,0.162612843,0.064900597,0.002999609,0.026357389
SDHAF3,170.6685823,0.370176792,0.201119674,0.00300194,0.026359754
SNRPG,1167.038169,0.192855217,0.081321871,0.003008148,0.026384408
BTG3,451.2494516,0.233231885,0.105450135,0.003008875,0.026384408
ZNF322,559.7788897,-0.232512454,0.10476574,0.00303579,0.026602176
RAB24,998.8465025,0.199181915,0.085112369,0.003044142,0.026654163
NRP1,19263.22124,0.142895071,0.05517519,0.003045892,0.026654163
WHAMM,928.4056327,-0.162155304,0.06482646,0.003052889,0.026697113
RXRB,1821.153589,-0.146540909,0.057047264,0.003069447,0.026823568
COPRS,1154.803605,-0.156216461,0.061895507,0.003081203,0.026892114
PC,2297.787952,-0.187989991,0.079366861,0.003081498,0.026892114
KIF27,132.9802361,-0.363012609,0.195664121,0.003088058,0.026930987
PLAA,1350.272484,0.193524786,0.082162115,0.003102277,0.027036547
RCSD1,2531.299805,-0.1823362,0.075701919,0.003105054,0.027042314
IL6ST,3536.632694,0.131901064,0.05018598,0.003107805,0.027047851
MCRIP1,1928.230262,-0.164691066,0.066323699,0.003111958,0.027065563
CDIPT,3100.072021,-0.158404432,0.063295026,0.003144073,0.027326291
ZNF865,1024.171558,-0.23901504,0.109571171,0.003150956,0.027367506
IGF2,176.5030265,-0.102708277,0.193834699,0.00315466,0.02738108
KY,8.701116236,-0.062049845,0.131105159,0.003154844,NA
ZNF511,564.3079836,0.20935454,0.091646315,0.00316311,0.027435792
NFE2L3,526.1062334,0.276250567,0.135020856,0.0031739,0.027510723
YKT6,4448.508364,0.116128006,0.043173708,0.003177389,0.027522301
KNTC1,772.4668545,0.197965053,0.085136201,0.003196665,0.027670521
ALDH16A1,2367.149395,-0.189574896,0.080427464,0.003200669,0.027686432
RAB7B,918.5054993,0.196547673,0.08433788,0.003206364,0.027716946
CHUK,1035.997583,0.157379887,0.062897926,0.003209245,0.027723104
TFDP1,2251.602392,0.165717166,0.067307667,0.003212624,0.027733557
PIP5K1C,5004.075862,-0.189090571,0.081694477,0.003223381,0.027798021
IGFBP6,126.334414,0.331075958,0.174527768,0.00322444,0.027798021
SLCO2B1,26678.30265,-0.219361813,0.097765721,0.003240316,0.027916066
STK38L,1994.219544,0.177200938,0.073715004,0.003249187,0.027973637
MAP2K5,480.5693601,-0.217184825,0.096701739,0.003263072,0.028074273
CASKIN1,16.73855609,-0.034176476,0.111124493,0.00326817,NA
BCL2A1,1449.151807,0.234715125,0.10837002,0.003276421,0.02816644
DENND1A,1409.158952,-0.216891368,0.095829023,0.00327819,0.02816644
RCN3,1204.9114,-0.190186766,0.080995019,0.003308975,0.028408068
ROGDI,751.8401815,-0.196581979,0.08457752,0.003310756,0.028408068
FLVCR2,2378.263901,-0.196960664,0.085232064,0.003319426,0.028436832
NAA50,3590.396514,0.170938751,0.070242748,0.003319539,0.028436832
ZFTRAF1,1834.000638,-0.180978339,0.07551677,0.003320781,0.028436832
MARCHF7,2294.007465,0.173845256,0.072089173,0.003331347,0.028508217
HNRNPK,13898.80065,0.125397213,0.046850503,0.003336114,0.028529909
LSS,2235.503789,0.175740015,0.073035535,0.00335279,0.028637244
RUNX3,1994.37231,-0.294176322,0.148208829,0.003353145,0.028637244
APH1B,951.8592414,-0.219935875,0.098813825,0.003356494,0.028642026
CES3,69.94365256,-0.428513671,0.254954439,0.003358185,0.028642026
ERMAP,925.4675875,-0.214863543,0.095730984,0.003363681,0.028669778
MAP2K2,3026.747408,-0.183840293,0.077560382,0.003377643,0.028752314
CKS1B,1134.75252,0.174917995,0.072768453,0.003377863,0.028752314
DNAJC2,752.4972698,0.196321578,0.084994037,0.003383744,0.028783213
GINS2,176.4840424,0.343354548,0.185019284,0.003392173,0.028835726
GART,2025.859226,0.210099843,0.093361132,0.003405877,0.028932978
HS3ST2,492.0036119,-0.236860106,0.109918137,0.003418793,0.029023419
EBNA1BP2,961.3905141,0.158097191,0.063959954,0.003429683,0.029092546
ORC6,629.2695326,0.178296139,0.074905693,0.003431487,0.029092546
COPS6,1899.979261,0.156732043,0.061963996,0.003441185,0.029155433
POLH,608.8871377,-0.349538697,0.19149724,0.003459867,0.029294304
SLC2A6,776.4060013,0.23614735,0.110567376,0.003463499,0.02930565
RNASE6,1417.681695,-0.181991604,0.076557244,0.003466615,0.029312615
ADSL,1480.242552,0.179638034,0.075793336,0.003480326,0.029409103
RPL7L1,2889.419293,0.175997168,0.073834365,0.003486525,0.029422955
FAM110A,680.6115321,-0.220859703,0.100525011,0.003490411,0.029422955
TMED2,5632.18981,0.12937602,0.049641482,0.003493996,0.029422955
WWC3,593.3088478,-0.218924173,0.099031415,0.00349615,0.029422955
STRAP,2327.242322,0.180809505,0.076589926,0.003499217,0.029422955
EPN2,535.6360172,-0.202943455,0.089461127,0.003500807,0.029422955
FAM136A,1163.595122,0.164397657,0.067468549,0.003501099,0.029422955
FES,1878.607467,-0.208480227,0.092800774,0.003502635,0.029422955
GSDMD,1150.222474,-0.151166476,0.060468258,0.003502678,0.029422955
ZNF23,206.7089024,0.333934741,0.183420888,0.003507989,0.02944822
TMEM65,955.6781303,0.235006844,0.110106308,0.003513092,0.029471707
PDLIM7,7229.044649,0.161920537,0.06621408,0.003518162,0.029494889
BCAS2,1044.759223,0.185370552,0.079343985,0.003524092,0.02952524
DYNLT1,1402.499772,0.185433488,0.07930265,0.003529446,0.029550731
ATAD2,1286.009925,0.18859142,0.082300064,0.003536429,0.029589817
USP16,1217.354441,0.180826454,0.076703078,0.003540845,0.029607393
PSME4,3230.482797,-0.132894312,0.051514153,0.003556978,0.02972285
RALB,2790.664451,0.164401606,0.070129199,0.003560692,0.029725953
SEPTIN9,8870.316853,-0.150171562,0.059899396,0.003561999,0.029725953
CYP19A1,496.2256576,-0.334718799,0.181709583,0.003571889,0.029752143
TDRD9,257.657545,-0.350711602,0.194466239,0.003572784,0.029752143
TMC7,229.7913685,-0.427409574,0.255279526,0.003578039,0.029752143
DUSP8,264.6911544,0.385630828,0.227966779,0.00357804,0.029752143
HMBS,492.6060355,0.225077713,0.103793511,0.00357847,0.029752143
WDR73,1099.413988,0.18565838,0.079374202,0.0035791,0.029752143
SH3GLB1,4343.470787,0.160409444,0.065512329,0.003585422,0.029785328
ABHD17A,3969.550969,-0.164640279,0.069134203,0.003602231,0.029905534
LRRC57,741.5063744,0.202199927,0.08953981,0.003606005,0.029917436
GAD1,7.472175131,-0.059334739,0.128446784,0.003612863,NA
TNFSF13,3260.967805,-0.133688546,0.052093224,0.003620133,0.030015176
PSMC4,4338.010628,-0.131247825,0.051026028,0.003626527,0.030048698
RPS28,5459.342944,-0.126942848,0.049008048,0.003637509,0.03012018
DNAJC19,425.5388249,0.226158642,0.104814743,0.003663845,0.030318611
FABP5,10102.25174,0.206633346,0.092553804,0.003678977,0.03042414
GBA1,5072.607804,-0.133835594,0.052383017,0.003693988,0.030528531
FKBP15,7820.798532,-0.138393955,0.05461016,0.00372045,0.030714036
FDPS,2061.134053,0.20708741,0.093030088,0.003723031,0.030714036
KANK1,419.5939009,0.248185754,0.120384149,0.003723641,0.030714036
PRSS36,623.7149391,-0.26471203,0.131275867,0.003726511,0.030717891
ELMO1,1581.733841,-0.193728956,0.084930244,0.003750953,0.030888725
CDS2,3420.048326,-0.16868846,0.072108612,0.003756057,0.030888725
PRDX1,12150.59812,0.14233058,0.056350318,0.003757837,0.030888725
RAD23B,3988.525763,0.133436579,0.052288002,0.003759213,0.030888725
CNNM2,335.7972473,-0.305418684,0.16217849,0.003759316,0.030888725
ZNF609,2738.876094,-0.167078575,0.069683203,0.003786438,0.03109159
MUL1,1419.240395,-0.151032294,0.061147954,0.003792486,0.031109021
SUPT16H,3098.786084,0.131003871,0.051138603,0.003793427,0.031109021
ARHGEF12,1388.971536,0.167627291,0.070118412,0.003799933,0.031142398
CIITA,1044.727719,-0.431806756,0.263305411,0.003803628,0.031143481
NAGPA,2077.088237,-0.168515604,0.070932192,0.003804937,0.031143481
MYEOV,45.69356829,0.568823292,0.407824173,0.00380778,0.03114681
EPHB3,246.2189131,-0.649970492,0.464308592,0.003810755,0.031151213
RPS2,17178.02636,-0.1089778,0.04090839,0.003816698,0.03117986
SLC25A38,798.4687602,-0.168926878,0.070911702,0.003832483,0.031288819
HSP90AA1,20594.41843,0.171532942,0.072114102,0.003859963,0.03147763
FANCE,828.3697254,-0.218857284,0.100988144,0.003860534,0.03147763
JPT2,1610.117184,0.193532855,0.08448574,0.003882441,0.031599956
PDCD1LG2,207.2705825,0.31161726,0.170678698,0.003883455,0.031599956
HLA-E,18572.40116,-0.125184497,0.048863511,0.003885742,0.031599956
CPSF1,4727.224227,-0.182534547,0.081770494,0.003886592,0.031599956
PMM2,1253.004151,0.155714122,0.06391771,0.003887894,0.031599956
STRADA,2153.505756,-0.127691661,0.049897206,0.003900611,0.031683168
SH2B3,6674.421139,0.127648815,0.049781489,0.00390426,0.031692678
UBE2T,193.7339132,0.281922882,0.146376249,0.00394084,0.031969314
ZNF462,552.238237,0.305125736,0.166072454,0.003956249,0.032070969
CDKN2D,145.6550811,0.356284998,0.207006627,0.003958388,0.032070969
APEX1,5602.926081,0.110551526,0.041903479,0.003961854,0.032078724
SDC2,3324.972329,0.190871315,0.08389039,0.003969288,0.032118574
POLR2J2-UPK3BL1,376.6924404,-0.3409422,0.191179419,0.00398256,0.032205581
BRAT1,1525.875068,-0.183231213,0.079583392,0.003985301,0.032207381
SLC2A3,1190.955978,0.235948996,0.113985581,0.003996109,0.032274327
DDHD2,882.2218129,0.235056936,0.113334804,0.004032452,0.032547283
EXOSC3,579.8961603,0.22205393,0.104628639,0.004037611,0.032568361
ADK,1065.333741,-0.171714474,0.072903538,0.004045825,0.032614041
NOP9,1966.584971,0.134456194,0.053334765,0.00404967,0.032624471
STAC,1573.991117,-0.173971524,0.074344039,0.00405441,0.032642087
RBM8A,2943.647975,0.161322858,0.067436051,0.004062022,0.032682788
CACUL1,3014.055845,-0.148641259,0.060493834,0.004068443,0.032713863
CCDC28B,149.4986994,0.333661934,0.190794598,0.004075079,0.032736788
NRP2,6316.245676,0.144416873,0.058207399,0.004076415,0.032736788
MLLT1,1726.836859,-0.178693933,0.077341595,0.004082748,0.032767065
LSM4,3016.442689,0.136192242,0.054247664,0.004089746,0.032802633
SLA,6783.343619,0.12492404,0.048708302,0.004134489,0.033140717
ARHGEF17,584.0591624,-0.201912149,0.091614878,0.004158324,0.033310884
APEH,3076.926064,-0.166365541,0.070402519,0.004177522,0.033443722
NLRP12,372.0599444,0.510115539,0.38608475,0.004188854,0.033513456
ANGEL1,1517.243408,-0.198589038,0.089920919,0.004210473,0.033665354
TIMM17A,1798.761417,0.167173533,0.071070132,0.004219962,0.03372013
SBDS,1274.32175,0.180409818,0.07756719,0.004256147,0.033988033
CHST15,2571.681529,0.189987743,0.084939794,0.004268396,0.034036068
CDC42SE2,1330.003214,0.175449201,0.075796007,0.004270519,0.034036068
NFE2L1,14160.73258,0.12651001,0.049745307,0.004272283,0.034036068
PET117,103.7369662,0.383328041,0.240097484,0.004272811,0.034036068
RAVER1,1776.516708,-0.174310665,0.075643418,0.004288397,0.034111874
CRIP1,842.2623504,0.170742338,0.073471091,0.004290509,0.034111874
UBE4B,2727.049846,-0.147491777,0.060740323,0.00429266,0.034111874
NMI,1047.046363,0.209714617,0.097672519,0.004293,0.034111874
GAMT,336.7206689,-0.249248965,0.124087453,0.00430342,0.034173435
AQP9,6009.041289,0.175337871,0.076237464,0.004316217,0.034253777
MLKL,1579.177179,0.196346183,0.089054189,0.004319034,0.034254866
TMEM43,2093.553731,0.120344896,0.046987606,0.004330285,0.034322808
CCDC106,881.1623739,-0.172718287,0.07462648,0.004333085,0.034323722
LARP4,1767.350824,0.185497449,0.082488205,0.004342379,0.034367559
DDX55,826.83386,0.181930078,0.080222501,0.004343995,0.034367559
EWSR1,7665.096939,0.102170536,0.038711773,0.00435049,0.034397657
ALAD,1359.450153,-0.181767593,0.080013317,0.004359686,0.034449063
TRIM44,4004.267841,-0.151592352,0.061369339,0.004363641,0.034457499
B4GALT3,966.4699126,-0.203790638,0.093740973,0.004366144,0.034457499
SQLE,1168.016319,0.275885102,0.146523575,0.004383144,0.034570321
COL22A1,399.5212381,0.294227337,0.162319062,0.004387904,0.034586527
TADA2A,336.0461226,0.249514867,0.126474078,0.004396434,0.034616981
KMT2A,1812.691379,-0.19792567,0.089944569,0.004397182,0.034616981
KIRREL1,277.003734,-0.2936561,0.159799574,0.004407342,0.034675613
ATF5,4282.074511,-0.130254788,0.05186289,0.004411118,0.034683976
SKIDA1,15.13024639,-0.067199466,0.135956972,0.00443259,NA
FURIN,12891.19522,-0.143442901,0.05882037,0.004438904,0.034870451
FBXO30,1038.729777,-0.170255711,0.073361537,0.004440289,0.034870451
PDCD11,1526.862642,0.149625261,0.062075462,0.004451921,0.034940338
KCNJ15,41.60965133,0.667135402,0.70015405,0.004462851,0.035004629
CRIM1,612.5949796,-0.319357541,0.182868351,0.004470481,0.035042981
JUP,2984.911783,-0.201973617,0.092465847,0.00449694,0.035228784
RNF208,116.5460564,-0.384182481,0.245739255,0.004514031,0.035341023
ZFYVE19,908.508896,-0.170810138,0.073849655,0.004524946,0.035404791
IFI30,41571.85714,-0.138044069,0.059313703,0.004540733,0.035493126
CCT6A,4018.297231,0.157354117,0.066504916,0.004541788,0.035493126
ARMT1,2138.960949,0.196500597,0.09054558,0.004545565,0.035500947
ACADS,635.3363993,-0.202790579,0.094009326,0.0045671,0.035640432
TARS1,5210.006196,0.163163184,0.071011753,0.004569,0.035640432
GSTK1,3709.026688,-0.124711068,0.049436828,0.004586318,0.035753708
MIGA2,822.7829442,-0.209321392,0.0975665,0.004611293,0.035914283
SLC39A3,943.6665395,-0.169787552,0.073484529,0.004613214,0.035914283
CDC42SE1,5458.220927,0.098001032,0.037131746,0.004615344,0.035914283
DONSON,334.207119,0.228946802,0.112152369,0.004628467,0.035994495
TRAM2,1070.376821,-0.159515676,0.067820069,0.004639468,0.036058112
PLPP3,631.1117999,-0.220857538,0.106572648,0.0046466,0.036079895
ST8SIA1,40.99365777,0.523243973,0.413349972,0.004647915,0.036079895
SLC66A2,2714.741759,-0.152575645,0.064271089,0.00465754,0.036132674
ABCA7,1364.59229,-0.223159045,0.108356719,0.004696515,0.036412941
PRMT1,2789.284896,0.132243703,0.053366404,0.004700734,0.036423568
ZNF503,1834.117799,-0.208272821,0.097161108,0.004705314,0.03643697
BMERB1,470.6027228,0.210284439,0.099821675,0.004718396,0.036516159
XRCC3,550.8098704,-0.214538349,0.10264807,0.004731673,0.03659676
CD80,118.3526127,0.365586382,0.234995504,0.004736916,0.036615156
TGFBR2,6761.211226,-0.115061554,0.045748761,0.004747613,0.036657608
NDUFA6,1509.982053,0.164604377,0.071079736,0.004748142,0.036657608
DOLK,586.8706862,-0.175041635,0.077367906,0.004757077,0.036704426
UBB,20052.7223,-0.124412362,0.051094007,0.004762902,0.036727203
FAM174B,208.8722014,-0.324504561,0.191690266,0.004770222,0.036746094
GDF15,1196.44246,-0.176424504,0.078051438,0.004773913,0.036746094
SNRPD3,1835.685246,0.171017285,0.074904119,0.004773974,0.036746094
ASS1,6371.5099,-0.198747457,0.092977775,0.004784331,0.036803653
FAM86B3P,98.47206607,0.405460005,0.281812365,0.004794408,0.036858996
SDC3,1932.719152,-0.215386847,0.10199599,0.004802217,0.036896842
HNRNPA2B1,23732.6101,0.140305957,0.057632602,0.004808064,0.036919575
PTPRG,2372.144175,-0.130200786,0.052512562,0.004812233,0.036929412
GPAT3,256.8104669,0.370910623,0.243733957,0.004832252,0.037044158
PARP9,5976.616175,0.181701707,0.082206402,0.004832981,0.037044158
PCYT1A,3940.316211,0.14471039,0.060227156,0.004851732,0.037165601
RHBDD2,3070.621232,-0.150408711,0.063356075,0.004857007,0.03718373
FZD1,550.7217371,-0.211845211,0.101439385,0.004868628,0.037250391
NHERF1,990.9709047,-0.183745076,0.084055759,0.004871828,0.037252587
FAM131A,642.063683,-0.184651814,0.08372464,0.004918657,0.037588185
GADD45A,260.5556942,0.28944531,0.164183595,0.004927552,0.037633662
SLC8A1,4214.800298,-0.154816703,0.065653838,0.004942473,0.037725082
TMEM165,3710.462679,0.124623475,0.04993929,0.004957204,0.037762689
KRI1,860.8963704,0.198245365,0.092961751,0.004961516,0.037762689
GMNN,467.3872503,0.197798826,0.092543217,0.004963188,0.037762689
MELK,580.4377781,0.188675048,0.086694666,0.004963567,0.037762689
CENPP,338.397093,0.253813674,0.13433457,0.004964254,0.037762689
NDN,253.9461744,-0.230771628,0.1156621,0.004966228,0.037762689
CEP120,746.8143449,0.173564368,0.077021842,0.004968075,0.037762689
TMEM161A,478.8136967,-0.232005934,0.116449249,0.004972998,0.037777649
DSTN,1995.783805,0.169683333,0.074573584,0.004981045,0.037816306
NUP88,894.8236915,0.223073943,0.109704818,0.004985777,0.037829771
PHF8,988.3849841,-0.195585685,0.09108023,0.005006376,0.037963534
MFGE8,1271.287372,-0.174483468,0.077626083,0.005015442,0.038009739
RALY,4977.135619,-0.130822589,0.053188564,0.005024806,0.038058144
COL5A1,513.9268348,-0.242504419,0.124704923,0.005028366,0.038062556
P4HB,25248.21656,-0.12667175,0.050933732,0.005040002,0.038128062
PRRT3,157.1088515,-0.291305806,0.165565696,0.005046952,0.038158058
RIMBP3B,97.1334229,-0.354167034,0.225682534,0.005064548,0.038252929
SLC9A7P1,44.63161607,0.526808224,0.466290984,0.005065484,0.038252929
RTTN,485.0504215,-0.241600411,0.124473767,0.005092406,0.038433539
PSMD1,3045.579736,0.148964293,0.063088643,0.005108959,0.038530679
CCDC9B,899.219916,-0.177084093,0.079713531,0.005111305,0.038530679
SYVN1,2196.412245,-0.161820241,0.070398849,0.005128722,0.03863919
NAP1L4P1,16.99172533,0.707829885,0.713852495,0.005140805,NA
SETD3,2663.845171,0.153254395,0.065490772,0.005149777,0.038765121
CNNM3,744.3187107,-0.235952057,0.118643947,0.005152023,0.038765121
TNFRSF10D,560.1005206,0.172511688,0.076909092,0.005154533,0.038765121
UCN2,9.814241613,0.928060732,1.001996352,0.005162838,NA
ACTR10,1717.628835,0.198842911,0.094269191,0.005182065,0.038949263
IBTK,2412.391304,0.160740284,0.071007149,0.00521753,0.039192788
PTPN12,5263.024493,0.189363568,0.088143073,0.005227771,0.039224378
ARMC7,530.4478525,-0.200917058,0.095501234,0.005227872,0.039224378
NAA60,2130.203899,-0.184222529,0.084746747,0.005231797,0.039230805
SYNCRIP,4335.611882,0.161233001,0.06958696,0.005236734,0.039244812
FBXO10,664.5346741,-0.217588866,0.107126396,0.005246421,0.039294371
OXA1L,5069.906325,-0.10122203,0.039921307,0.00525796,0.03935774
SMARCD1,1686.130277,-0.172077222,0.076911554,0.005265356,0.039390041
SLC12A5,434.5751829,-0.203729482,0.097512151,0.005272231,0.039402912
FOXO3,2062.009566,-0.127595897,0.051987471,0.005273241,0.039402912
CCZ1,1592.565502,0.162018378,0.070910994,0.005297256,0.039559242
SUCO,702.8044754,0.177645765,0.080625186,0.005301323,0.039566496
RPS6KB2,1918.974307,-0.145762408,0.061656078,0.005317087,0.039632263
CORO2A,859.2250771,-0.205666308,0.098614517,0.005319773,0.039632263
CEP83,161.3327279,0.368124118,0.256506977,0.005322016,0.039632263
WDR89,266.2360317,0.244938863,0.12935206,0.005322534,0.039632263
EPN1,4088.606211,-0.163190522,0.073780442,0.005337959,0.039723982
SINHCAF,1008.535565,0.150750823,0.064578052,0.005358899,0.039856615
GCH1,300.2053491,0.305707529,0.185680333,0.005367348,0.039881213
SLC25A6,16948.76149,-0.101552225,0.039579047,0.005368445,0.039881213
CYB5D2,508.529959,-0.198368169,0.094393293,0.005392312,0.040035257
DHX9,4185.217463,0.143235217,0.060325202,0.00540089,0.040075667
PPP2R3C,970.1821183,0.177915009,0.080906749,0.005406193,0.040091749
AKIRIN1,3438.450347,0.119254251,0.047925277,0.005412001,0.040111558
MICOS10,2254.005367,0.198404589,0.09487781,0.005419388,0.040143032
COPG2,604.1828749,-0.176325153,0.080115584,0.005429866,0.040184163
GRHPR,2045.031576,-0.114552865,0.046155529,0.005431227,0.040184163
MAVS,4777.166122,-0.129176398,0.053051151,0.00543727,0.040205606
SRP19,966.4308525,0.172748933,0.078086679,0.005442615,0.040221869
PPHLN1,1541.309154,0.189150461,0.088582949,0.005452351,0.040237803
ZNF395,436.5593899,-0.29941925,0.177167591,0.005454451,0.040237803
L3HYPDH,203.8860133,0.252769948,0.136781025,0.0054548,0.040237803
STX3,2344.173998,0.144105285,0.06100124,0.00545736,0.040237803
PRR15,372.5194101,-0.379401524,0.261242046,0.005470531,0.040278175
CADM1,2667.276911,-0.167837083,0.075585775,0.005471718,0.040278175
