,baseMean,log2FoldChange,lfcSE,pvalue,padj
JUN,4400.453232,0.257710166,0.059549843,1.11E-06,0.000157634
EDNRB,481.989648,-0.361513259,0.085467134,1.24E-06,0.000173424
TMEM170B,830.1682424,-0.285022027,0.067017579,1.32E-06,0.000182257
RNASE6,1417.681695,-0.304707557,0.072404219,1.44E-06,0.000196475
CYP27B1,153.5536183,0.641108299,0.154746383,1.49E-06,0.000199435
ID3,2760.058503,-0.367184971,0.0878102,1.51E-06,0.000199435
NR1D2,1421.688202,-0.269512952,0.06366736,1.49E-06,0.000199435
MS4A6A,2335.387149,-0.469176131,0.113062643,1.55E-06,0.000202676
ICAM1,6161.21144,0.359052855,0.086272687,1.71E-06,0.000219916
ITGAX,12554.46728,0.262925679,0.062476839,1.72E-06,0.000219916
CCSAP,1690.856706,-0.293110775,0.069994061,1.75E-06,0.000221582
PDLIM7,7229.044649,0.265376169,0.063100741,1.77E-06,0.000222197
SEMA4C,704.4761472,0.392757636,0.094776176,1.83E-06,0.000226579
MARCKSL1,176.3557319,0.726390521,0.177959655,1.89E-06,0.000231677
MMP1,131.3519051,0.704431805,0.172669112,1.91E-06,0.000232066
TRIB3,739.5974169,0.481815147,0.117629061,1.98E-06,0.000238018
FUCA1,2792.578619,-0.207820271,0.049177637,2.05E-06,0.000242182
QKI,9955.792009,-0.210148612,0.049612124,2.05E-06,0.000242182
MT1F,212.3676467,-0.661432912,0.163451156,2.09E-06,0.000243705
PCMTD1,2022.618509,-0.213475298,0.050737593,2.14E-06,0.000247116
RNF20,1743.609597,-0.304358159,0.074015982,2.30E-06,0.000258724
TGFBR2,6761.211226,-0.186284066,0.044223143,2.28E-06,0.000258724
ZBTB33,1357.211308,-0.219140998,0.052550811,2.30E-06,0.000258724
LYST,1141.354433,-0.256359856,0.062076092,2.50E-06,0.000277733
CLEC5A,1830.16652,0.485458021,0.120463273,2.54E-06,0.000279468
SEMA4D,4693.653247,0.312496,0.07668566,2.68E-06,0.000292948
SCARF1,582.6022677,0.399216495,0.099311591,2.95E-06,0.000319299
MAPK13,4108.801166,0.212123722,0.051345285,3.21E-06,0.000344066
TIMP2,15596.26349,-0.175639545,0.042269029,3.35E-06,0.000356357
