,baseMean,log2FoldChange,lfcSE,pvalue,padj
PIGZ,122.8702533,-0.010802162,0.149344224,0.931436563,0.967071687
CDAN1,669.497298,0.008436242,0.105166467,0.931439357,0.967071687
LTBR,3534.6615,-0.007509184,0.088175616,0.931666154,0.96724061
RFNG,926.3816165,0.009644661,0.12664159,0.931995765,0.967437915
HDHD2,680.7279282,0.007911424,0.097756675,0.932017806,0.967437915
C4orf36,88.99814455,-0.010822289,0.170511463,0.932048536,0.967437915
DEPDC5,928.5148379,0.006912262,0.086038642,0.932407275,0.967743709
LENG1,289.3855376,-0.008847418,0.119018659,0.932564473,0.967750253
MAP4K1,21.24636182,-0.009281965,0.227345528,0.932595682,0.967750253
SMG8,562.2078342,0.007552837,0.095062211,0.932609772,0.967750253
DOK4,45.76190803,-0.0109238,0.197376375,0.932670108,0.967750253
AHSA1,1434.386081,-0.007249098,0.099843023,0.933168039,0.968200338
PFDN1,2168.997483,-0.006399623,0.069340332,0.933352856,0.968253938
NHERF1,1158.154685,0.007902564,0.102499023,0.933406919,0.968253938
STAG3L5P,12.36003569,0.008584832,0.237645515,0.933549568,0.968253938
ABHD14B,600.1860155,0.007350481,0.093602616,0.933594615,0.968253938
ATP1A2,7.237212854,0.006569282,0.248615369,0.93360056,0.968253938
KLRD1,102.6311384,-0.010240926,0.182476845,0.933604692,0.968253938
DLX6,18.73587524,-0.009192671,0.226328143,0.93381561,0.968350114
BLTP3B,1151.14954,-0.008061505,0.108862202,0.933840031,0.968350114
DNA2,187.0434309,-0.010001041,0.147159588,0.933957988,0.968350114
RTP4,86.1509255,-0.010552687,0.174794245,0.93396752,0.968350114
THAP6,355.4257198,0.009903665,0.137296672,0.934018284,0.968350114
TMEM238,82.14827926,-0.010568446,0.176274329,0.934341803,0.968618975
EDIL3,24.8107308,-0.007936666,0.237532964,0.93457632,0.968795539
XPNPEP2,15.88646465,-0.008700009,0.230887861,0.934851611,0.968925593
XKR8,688.7187418,-0.007195368,0.095770671,0.934888207,0.968925593
FGFBP3,48.56484641,0.010932513,0.190574411,0.934906516,0.968925593
APEX1,5413.810272,0.005172173,0.060793087,0.934981265,0.968925593
NAV3,49.78192398,0.010872824,0.189250262,0.935022829,0.968925593
SYNGAP1,1099.922163,0.009618374,0.136787345,0.935093267,0.968932046
MTMR8,43.38750759,-0.010322371,0.197805742,0.935191244,0.968967034
RIPOR2,30.20146638,-0.009813159,0.21403749,0.935261278,0.968973065
ZNF180,183.2425371,0.009390159,0.131750568,0.935403129,0.969026877
GABRD,13.6081626,0.009141485,0.230508436,0.935441651,0.969026877
NBEA,199.4975543,0.009568842,0.137964317,0.936036657,0.969530349
DDX59,394.4768948,-0.007841021,0.111151704,0.936066253,0.969530349
MYPN,10.51126926,0.008188,0.237580033,0.936120423,0.969530349
NECAP1,935.6801083,0.006449411,0.085019202,0.936325684,0.969636158
CNTNAP4,22.48276355,0.008581992,0.233444079,0.9363511,0.969636158
NR1H2,2552.005611,-0.006115098,0.081909184,0.936645936,0.969834216
PGGT1B,1042.390395,0.006556811,0.080547547,0.936670899,0.969834216
ZNF619,175.9604992,-0.009563715,0.150367039,0.93683141,0.969933858
CCDC120,269.0255731,0.009718232,0.134845456,0.936951138,0.969991264
DMGDH,12.55451639,0.007276525,0.243101197,0.937603929,0.970524612
NWD1,13.31440457,0.008191597,0.235677539,0.937649592,0.970524612
ADCY2,28.25595949,0.00953774,0.220216847,0.937659266,0.970524612
ZNF446,195.0939441,0.009323667,0.138305153,0.937781992,0.970531867
APH1A,5987.937895,-0.004283346,0.060863695,0.937794907,0.970531867
ZNF395,491.9093165,-0.008855636,0.137221851,0.937860221,0.970532899
STRAP,2116.343772,0.006218499,0.082608325,0.93795709,0.970566583
INIP,956.0090678,0.007908124,0.110459747,0.938048807,0.970594933
PDE4D,31.82801262,0.009003597,0.227589756,0.938176474,0.970660473
RFC1,1177.157136,0.006400495,0.104786096,0.938310136,0.970716359
SVIP,147.0064602,0.009583017,0.155562679,0.938370035,0.970716359
ZW10,518.8267076,-0.008209502,0.121499954,0.938423476,0.970716359
GNB2,7938.667139,-0.006764435,0.097982073,0.938846496,0.971087369
POLR3D,703.0716552,0.008586858,0.124419573,0.938948575,0.971126387
ZFP37,27.66276198,-0.009179229,0.21423995,0.939034414,0.971148606
VTI1A,960.4512265,0.006285949,0.083901476,0.939244197,0.971261353
VPS72,857.237535,-0.006214699,0.088189552,0.939272162,0.971261353
NSUN5P2,186.0655666,0.009299958,0.145032345,0.939591984,0.971525492
ARPC1A,894.0226715,-0.006057446,0.086167239,0.939892658,0.97174581
CABYR,54.18909756,-0.00978999,0.186207812,0.939933853,0.97174581
RBFOX1,37.771804,-0.009319135,0.20558474,0.940061393,0.971747908
AKR1A1,5455.701841,0.005384429,0.056765903,0.940064676,0.971747908
WFDC3,15.49929461,-0.007122527,0.238725665,0.940141204,0.971760448
TBX21,11.49431338,0.006984654,0.24281957,0.940318231,0.971853929
CC2D2B,48.01915043,-0.00901022,0.20810049,0.940410167,0.971853929
CNTF,20.56311202,0.009039284,0.220466335,0.940433835,0.971853929
CAMKMT,116.196525,-0.009142158,0.153207965,0.940529176,0.971853929
DUS3L,1116.579244,-0.006872144,0.101782503,0.940553663,0.971853929
MEPE,30.2254278,-0.008816325,0.216401009,0.940670271,0.971907867
RPS19P3,14.00473066,0.008135153,0.232741942,0.940790601,0.971965642
HARBI1,152.4379238,-0.008540156,0.133602453,0.940890425,0.972002226
PTPRE,4319.033095,-0.006585098,0.116165947,0.941133478,0.972186759
DNAJB9,822.9220008,-0.006349996,0.095197177,0.941242611,0.972232939
FBXL4,439.6046303,0.007382659,0.10884758,0.941402523,0.972273313
ZFAND4,150.1348147,0.008475887,0.140635364,0.941410562,0.972273313
SRRM5,27.81054505,-0.008749312,0.215323497,0.941678262,0.972483231
SCUBE1,27.47598194,0.005121873,0.253033535,0.941973902,0.972539329
KITLG,76.51648571,0.009425924,0.20747949,0.941983956,0.972539329
CA12,11.66667024,0.007366775,0.238312276,0.94199528,0.972539329
RPL23AP4,12.52757793,0.003505391,0.257813484,0.942084786,0.972539329
NOP16,356.8189394,-0.007312329,0.110009637,0.942138718,0.972539329
PMS2P2,7.950966601,0.006257339,0.247087459,0.942144462,0.972539329
GPR18,13.625083,-0.007358708,0.234325739,0.942217098,0.972539329
FARP2,545.0228552,0.009330979,0.137758511,0.942248177,0.972539329
SIPA1L3,629.1109978,-0.008560703,0.144799115,0.942316083,0.972542897
RPS2P5,3559.091521,-0.005391055,0.10113488,0.942566317,0.972645429
ZNF273,117.7940476,-0.008776803,0.152871103,0.94258149,0.972645429
PWP1,1084.650198,0.006839275,0.101658612,0.942608798,0.972645429
CYP4A22,10.92869955,-0.00695852,0.237050533,0.942839747,0.97279613
PCBP3,9.338839362,-0.006010941,0.244766104,0.942935424,0.97279613
TRNP1,111.2500902,0.009089063,0.154426951,0.943008242,0.97279613
